Fwy	District	County	City	CA PM	Abs PM	Length	ID	Name	Lanes	Type	Sensor Type	HOV	MS ID	IRM
I80-W	4	Solano	Fairfield	20.4	47.883	.545	411132	4A5344 loc 28	4	Mainline	magnetometers	No	DS924	N4-W-23-080-02040
I80-W	4	Solano	Fairfield	21.05	48.533	.5	410803	Manuel Campos Pkwy rm-w-loop	4	Mainline	loops	No	DT8D3	L4-W-23-080-02105
I80-W	4	Solano		21.4	48.883	.475	411134	4A5344 loc 31	4	Mainline	magnetometers	No	DS926	N4-W-23-080-02140
I80-W	4	Solano		22	49.483	.53	411137	4A5344 loc 32	4	Mainline	magnetometers	No	DS927	N4-W-23-080-02200
I80-W	4	Solano		22.46	49.943	.535	409232	1200' W of Lagoon Valley Rd OC	4	Mainline	loops	No	DT8D7	L4-W-23-080-02246
I80-W	4	Solano		23.07	50.553	.479	410817	Lagoon Valley Rd rm-w-diag	4	Mainline	loops	No	DT8D8	L4-W-23-080-02307
I80-W	4	Solano		23.42	50.901	.354	411138	4A5344 loc 35	4	Mainline	magnetometers	No	DS930	N4-W-23-080-02342
I80-W	4	Solano		23.78	51.261	.27	410814	Cherry Glen Rd rm-w-diag	4	Mainline	loops	No	DT8E1	L4-W-23-080-02378
I80-W	4	Solano		23.96	51.441	.385	401877	E of Pleasant Valley OC	4	Mainline	loops	No	DT433	L4-W-23-080-02396
I80-W	4	Solano		24.55	52.031	.585	413390	3/4 mi. W of Alamo Dr OC	4	Mainline	loops	No	DT8E3	L4-W-23-080-02455
I80-W	4	Solano	Vacaville	25.13	52.611	.415	410811	Merchant St rm-w-diag	4	Mainline	loops	No	DT8E4	L4-W-23-080-02513
I80-W	4	Solano	Vacaville	25.38	52.861	.36	408790	1/4 mi. E of Alamo Dr OC	4	Mainline	loops	No	DT8E6	L4-W-23-080-02538
I80-W	4	Solano	Vacaville	25.85	53.331	.47	410808	Hickory Lane rm-w-diag	4	Mainline	loops	No	DT8E7	L4-W-23-080-02585
I80-W	4	Solano	Vacaville	26.32	53.801	.46	410805	Depot Rd rm-w-diag	4	Mainline	loops	No	DT8E9	L4-W-23-080-02632
I80-W	4	Solano	Vacaville	26.77	54.251	.505	408473	oppo 1200' W of Allison Dr	4	Mainline	loops	No	DT8F1	L4-W-23-080-02677
I80-W	4	Solano	Vacaville	27.33	54.811	.39	410788	Allison Dr rm-w-hook	4	Mainline	loops	No	DT8F3	L4-W-23-080-02733
I80-W	4	Solano	Vacaville	27.55	55.031	.43	401923	E Monte Vista Ave rm-w-hook	4	Mainline	loops	No	DTA76	L4-W-23-080-02755
I80-W	4	Solano	Vacaville	28.19	55.671	.525	410786	SB 505 rm-w-conn	3	Mainline	loops	No	DT8F7	L3-W-23-080-02819
I80-W	4	Solano	Vacaville	28.6	56.081	.648	411141	4A5344 loc 44	4	Mainline	magnetometers	No	DS938	N4-W-23-080-02860
I80-W	4	Solano	Vacaville	29.5	56.967	1.308	411140	4A5344 loc 46	4	Mainline	magnetometers	No	DS939	N4-W-23-080-02950
I80-W	4	Solano	Vacaville	31.23	58.697	1.25	402240	4A5344 loc 49	3	Mainline	magnetometers	No	DS941	N3-W-23-080-03123
I80-W	4	Solano	Vacaville	32	59.467	.695	402242	4A5344 loc 50	3	Mainline	magnetometers	No	DS942	N3-W-23-080-03200
I80-W	4	Solano	Vacaville	32.62	60.087	.73	402244	4A5344 loc 51	3	Mainline	magnetometers	No	DS943	N3-W-23-080-03262
I80-W	4	Solano		33.46	60.927	.69	403426	1200' E of Midway Rd	3	Mainline	magnetometers	No	DS934	N3-W-23-080-03346
I80-W	4	Solano		34	61.467	.77	402247	4A5344 loc 54	3	Mainline	magnetometers	No	DS945	N3-W-23-080-03400
I80-W	4	Solano		35	62.467	.785	402249	4A5344 loc 55	3	Mainline	magnetometers	No	DS946	N3-W-23-080-03500
I80-W	4	Solano		35.57	63.037	.5	402252	4A5344 loc 57	3	Mainline	magnetometers	No	DS948	N3-W-23-080-03557
I80-W	4	Solano		36	63.467	.465	402253	4A5344 LOC 58	3	Mainline	magnetometers	No	DS949	N3-W-23-080-03600
I80-W	4	Solano		36.5	63.967	.5	402254	4A5344 loc 59	3	Mainline	magnetometers	No	DS950	N3-W-23-080-03650
I80-W	4	Solano		37	64.467	.5	402256	4A5344 loc 61	3	Mainline	magnetometers	No	DS951	N3-W-23-080-03700
I80-W	4	Solano		37.5	64.967	.62	402258	4A5344 loc 63	3	Mainline	magnetometers	No	DS952	N3-W-23-080-03750
I80-W	4	Solano		38.24	65.707	.75	402260	4A5344 loc 66	3	Mainline	magnetometers	No	DS953	N3-W-23-080-03824
I80-W	4	Solano		39	66.467	.77	402262	4A5344 loc 67	3	Mainline	magnetometers	No	DS954	N3-W-23-080-03900
I80-W	4	Solano		39.78	67.247	.75	402265	4A5344 LOC 69	3	Mainline	magnetometers	No	DS956	N3-W-23-080-03978
I80-W	4	Solano		40.5	67.967	.84	402267	4A5344 loc 72	3	Mainline	magnetometers	No	DS958	N3-W-23-080-04050
I80-W	4	Solano		41.46	68.927	.75	402269	4A5344 loc 73	4	Mainline	magnetometers	No	DS959	N4-W-23-080-04146
